路径ID,路径描述,间接效应均值,间接效应HDI下限,间接效应HDI上限,间接效应标准差,直接效应均值,直接效应HDI下限,直接效应HDI上限,直接效应标准差,总效应均值,总效应HDI下限,总效应HDI上限,总效应标准差,中介比例,中介比例百分比,主要影响类型,影响强度,间接效应方向,直接效应方向,中介类型,显著性概率,是否显著,正向效应概率,负向效应概率,结论
148,疾病_高血压 → 疾病_糖尿病 → 疾病_糖尿病性周围神经病,0.0958,0.0512,0.1426,0.0247,0.0803,-0.0258,0.1792,0.056,0.1761,0.0664,0.2795,0.0576,0.5567,55.7,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为55.7%。
149,疾病_高血压 → 疾病_糖尿病 → 检验_葡萄糖,0.1176,0.0655,0.1726,0.0285,0.084,-0.0218,0.1847,0.0554,0.2016,0.0905,0.3015,0.0569,0.6315,63.1,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为63.1%。
150,疾病_高血压 → 疾病_糖尿病 → 药物_甲钴胺分散片,0.0736,0.0343,0.1161,0.0225,-0.0399,-0.1499,0.0681,0.0604,0.0337,-0.0745,0.1413,0.0602,-3.8396,-384.0,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-384.0%。
151,疾病_高血压 → 疾病_糖尿病 → 药物_阿卡波糖片,0.1078,0.057,0.1543,0.0264,0.1103,0.0073,0.2108,0.0551,0.2181,0.1173,0.3232,0.0559,0.5221,52.2,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为52.2%。
152,疾病_高血压 → 疾病_糖尿病 → 药物_盐酸二甲双胍片,0.0775,0.0371,0.1195,0.0222,0.1117,0.0002,0.2171,0.0584,0.1892,0.0828,0.2943,0.058,0.4791,47.9,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为47.9%。
153,疾病_高血压 → 疾病_糖尿病 → 检验_尿酸,0.0414,0.0086,0.0772,0.0184,0.0517,-0.0655,0.1641,0.0612,0.093,-0.0128,0.2049,0.0589,0.5933,59.3,直接影响,强,正向中介,正向直接效应,部分中介,0.9945,是,0.9945,0.0055,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为59.3%。
154,疾病_高血压 → 疾病_糖尿病 → 疾病_肝囊肿,-0.0632,-0.1011,-0.0263,0.0205,0.1451,0.0279,0.2549,0.0616,0.082,-0.0246,0.199,0.0604,-0.5906,-59.1,直接影响,强,负向中介,正向直接效应,部分中介,1.0,是,0.0,1.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-59.1%。
155,疾病_高血压 → 疾病_反流性食管炎 → 药物_贞芪扶正,0.0105,-0.025,0.0491,0.0199,-0.0811,-0.1919,0.0168,0.0557,-0.0706,-0.183,0.0346,0.0588,-0.4118,-41.2,直接影响,强,正向中介,负向直接效应,部分中介,0.708,否,0.708,0.292,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-41.2%。
156,疾病_高血压 → 疾病_反流性食管炎 → 疾病_恶性肿瘤维持性化学治疗,0.0098,-0.0259,0.0469,0.0196,0.0245,-0.0874,0.1264,0.0568,0.0343,-0.082,0.1427,0.0595,0.1566,15.7,直接影响,强,正向中介,正向直接效应,弱中介,0.7015,否,0.7015,0.2985,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为15.7%。
157,疾病_高血压 → 疾病_反流性食管炎 → 疾病_胆囊结石,-0.0007,-0.0084,0.0066,0.0038,0.0863,-0.0215,0.2078,0.0618,0.0856,-0.0285,0.2004,0.0617,-0.0013,-0.1,直接影响,强,负向中介,正向直接效应,弱中介,0.567,否,0.433,0.567,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-0.1%。
158,疾病_高血压 → 疾病_反流性食管炎 → 疾病_贫血,0.007,-0.016,0.0315,0.0128,-0.0437,-0.1606,0.0633,0.0594,-0.0366,-0.1503,0.0746,0.0605,0.0004,0.0,直接影响,强,正向中介,负向直接效应,弱中介,0.721,否,0.721,0.279,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为0.0%。
159,疾病_高血压 → 疾病_反流性食管炎 → 疾病_混合痔,-0.0058,-0.0265,0.0163,0.0113,-0.2625,-0.3609,-0.1504,0.0552,-0.2683,-0.3766,-0.164,0.0566,0.0205,2.1,直接影响,强,负向中介,负向直接效应,弱中介,0.705,否,0.295,0.705,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为2.1%。
160,疾病_高血压 → 疾病_反流性食管炎 → 疾病_糖尿病性周围神经病,-0.0023,-0.0132,0.0067,0.0053,0.1764,0.0718,0.2916,0.0585,0.1741,0.0702,0.2926,0.0586,-0.0197,-2.0,直接影响,强,负向中介,正向直接效应,弱中介,0.6795,否,0.3205,0.6795,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-2.0%。
161,疾病_高血压 → 疾病_反流性食管炎 → 药物_琥珀酸亚铁片,-0.0014,-0.0104,0.0066,0.0044,0.1222,0.0066,0.236,0.0614,0.1208,0.0067,0.2365,0.0615,-0.0054,-0.5,直接影响,强,负向中介,正向直接效应,弱中介,0.604,否,0.396,0.604,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-0.5%。
162,疾病_高血压 → 疾病_动脉硬化 → 疾病_慢性胃炎,0.0321,0.0081,0.0611,0.0146,-0.0578,-0.1608,0.0562,0.0576,-0.0257,-0.1261,0.095,0.058,-4.5163,-451.6,直接影响,强,正向中介,负向直接效应,完全中介,0.9945,是,0.9945,0.0055,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为-451.6%。
163,疾病_高血压 → 疾病_动脉硬化 → 疾病_高脂血症,0.0518,0.0138,0.0908,0.021,0.191,0.0869,0.2918,0.0547,0.2428,0.1416,0.3575,0.0564,0.2209,22.1,直接影响,强,正向中介,正向直接效应,部分中介,0.9955,是,0.9955,0.0045,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为22.1%。
164,疾病_高血压 → 疾病_脂肪肝 → 疾病_胆囊结石,0.0715,0.0334,0.1133,0.0225,0.0152,-0.0875,0.1283,0.0565,0.0867,-0.0183,0.1957,0.058,2.3924,239.2,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为239.2%。
165,疾病_高血压 → 疾病_脂肪肝 → 检验_C反应蛋白,-0.0509,-0.088,-0.0186,0.0186,0.1488,0.0279,0.2554,0.0593,0.098,-0.0165,0.2141,0.0605,-0.5781,-57.8,直接影响,强,负向中介,正向直接效应,部分中介,1.0,是,0.0,1.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-57.8%。
166,疾病_高血压 → 疾病_脂肪肝 → 疾病_糖尿病性周围血管病,0.0575,0.0243,0.0955,0.0196,0.0285,-0.0995,0.1282,0.0594,0.086,-0.0305,0.1974,0.0599,10.4035,1040.4,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为1040.4%。
167,疾病_高血压 → 疾病_脂肪肝 → 疾病_肺恶性肿瘤,0.048,0.0134,0.0791,0.0178,0.1359,0.0311,0.2501,0.0568,0.1839,0.0726,0.2911,0.0579,0.293,29.3,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为29.3%。
168,疾病_高血压 → 疾病_混合痔 → 药物_裸花紫珠分散片,-0.1787,-0.256,-0.1106,0.0391,-0.0073,-0.0982,0.0792,0.0472,-0.186,-0.2926,-0.0683,0.0596,1.0459,104.6,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,1.0,是,0.0,1.0,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为104.6%。
169,疾病_高血压 → 疾病_混合痔 → 药物_头孢地尼分散片,-0.1019,-0.1481,-0.0534,0.0259,0.002,-0.1053,0.1087,0.0577,-0.0999,-0.2116,0.0086,0.0595,1.4742,147.4,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,1.0,是,0.0,1.0,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为147.4%。
170,疾病_高血压 → 疾病_混合痔 → 疾病_肛乳头肥大,-0.1592,-0.2196,-0.092,0.0345,0.0166,-0.0802,0.1035,0.0497,-0.1426,-0.2408,-0.0303,0.0573,1.3798,138.0,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,1.0,是,0.0,1.0,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为138.0%。
171,疾病_高血压 → 检验_嗜酸性粒细胞数量 → 检验_嗜酸性粒细胞比率,-0.0192,-0.0813,0.0408,0.0325,-0.0497,-0.1399,0.0425,0.0487,-0.0689,-0.1733,0.0415,0.0591,3.3185,331.8,直接影响,强,负向中介,负向直接效应,完全中介,0.727,否,0.273,0.727,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为331.8%。
172,疾病_高血压 → 检验_嗜酸性粒细胞数量 → 疾病_心功能,-0.0061,-0.0246,0.0151,0.0109,0.0918,-0.0207,0.2003,0.0595,0.0857,-0.0241,0.1957,0.0603,-0.16,-16.0,直接影响,强,负向中介,正向直接效应,弱中介,0.724,否,0.276,0.724,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-16.0%。
173,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_血糖控制不佳,0.0349,-0.0019,0.0777,0.0217,-0.0146,-0.1149,0.087,0.0548,0.0203,-0.0922,0.1209,0.0584,-0.9469,-94.7,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.9595,是,0.9595,0.0405,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-94.7%。
174,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_脂肪肝,0.027,-0.0055,0.0582,0.0177,0.1872,0.0888,0.2883,0.054,0.2143,0.111,0.3173,0.0562,0.1309,13.1,直接影响,强,正向中介,正向直接效应,弱中介,0.9545,是,0.9545,0.0455,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为13.1%。
175,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 检验_红细胞压积,-0.0269,-0.0573,0.0028,0.0167,-0.0195,-0.1257,0.0879,0.057,-0.0464,-0.1525,0.0669,0.0589,-1.8272,-182.7,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.959,是,0.041,0.959,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-182.7%。
176,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_老年性白内障,0.0167,-0.0031,0.0398,0.0118,0.1186,0.0063,0.2215,0.0575,0.1353,0.026,0.2414,0.0581,0.1538,15.4,直接影响,强,正向中介,正向直接效应,弱中介,0.954,是,0.954,0.046,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为15.4%。
177,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_后天性肾囊肿,0.0214,-0.0031,0.0497,0.0142,0.0869,-0.0222,0.197,0.0585,0.1083,-0.0073,0.2161,0.0597,0.1511,15.1,直接影响,强,正向中介,正向直接效应,弱中介,0.9515,是,0.9515,0.0485,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为15.1%。
178,疾病_高血压 → 检验_红细胞压积 → 检验_红细胞分布宽度CV,-0.0183,-0.0581,0.0207,0.0215,0.074,-0.0284,0.1643,0.052,0.0556,-0.0517,0.1607,0.0566,-0.4415,-44.2,直接影响,强,负向中介,正向直接效应,部分中介,0.809,否,0.191,0.809,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-44.2%。
179,疾病_高血压 → 检验_红细胞压积 → 检验_红细胞,-0.0245,-0.0769,0.0273,0.0286,0.015,-0.0827,0.1089,0.0517,-0.0096,-0.1208,0.0952,0.0588,3.4244,342.4,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,0.8095,否,0.1905,0.8095,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为342.4%。
180,疾病_高血压 → 检验_红细胞压积 → 检验_直接胆红素,-0.0029,-0.0139,0.006,0.0055,-0.172,-0.2831,-0.0644,0.0576,-0.1749,-0.2793,-0.0598,0.0578,0.018,1.8,直接影响,强,负向中介,负向直接效应,弱中介,0.703,否,0.297,0.703,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为1.8%。
181,疾病_高血压 → 检验_红细胞压积 → 药物_碳酸氢钠片,-0.0072,-0.0262,0.0106,0.0098,0.1145,0.0077,0.2221,0.0576,0.1073,0.0019,0.2166,0.058,-0.1078,-10.8,直接影响,强,负向中介,正向直接效应,弱中介,0.7835,否,0.2165,0.7835,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-10.8%。
182,疾病_高血压 → 药物_贞芪扶正 → 疾病_肺恶性肿瘤,-0.0199,-0.0513,0.0121,0.0172,0.2043,0.0954,0.3056,0.0561,0.1845,0.0782,0.2967,0.0583,-0.1396,-14.0,直接影响,强,负向中介,正向直接效应,弱中介,0.8875,否,0.1125,0.8875,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-14.0%。
183,疾病_高血压 → 药物_贞芪扶正 → 疾病_恶性肿瘤维持性化学治疗,-0.0196,-0.0514,0.0116,0.017,0.0535,-0.0553,0.1614,0.0575,0.0338,-0.0797,0.1428,0.0593,-0.4407,-44.1,直接影响,强,负向中介,正向直接效应,部分中介,0.887,否,0.113,0.887,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-44.1%。
184,疾病_高血压 → 检验_谷丙转氨酶 → 检验_谷草转氨酶,0.0165,-0.0219,0.0527,0.0201,0.022,-0.0775,0.1296,0.0555,0.0385,-0.068,0.1504,0.0585,0.0081,0.8,直接影响,强,正向中介,正向直接效应,弱中介,0.798,否,0.798,0.202,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为0.8%。
185,疾病_高血压 → 检验_谷丙转氨酶 → 检验_谷草/谷丙,0.0122,-0.0139,0.0416,0.0152,-0.099,-0.2085,0.0096,0.0577,-0.0868,-0.1892,0.0303,0.0591,-0.2367,-23.7,直接影响,强,正向中介,负向直接效应,部分中介,0.7855,否,0.7855,0.2145,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-23.7%。
186,疾病_高血压 → 检验_谷丙转氨酶 → 疾病_肺恶性肿瘤,0.0064,-0.0102,0.0243,0.0092,0.177,0.0685,0.2815,0.0575,0.1834,0.0697,0.2862,0.0578,0.0348,3.5,直接影响,强,正向中介,正向直接效应,弱中介,0.7755,否,0.7755,0.2245,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为3.5%。
187,疾病_高血压 → 疾病_前列腺增生 → 检验_钙,0.0204,-0.0,0.0427,0.012,0.1881,0.0801,0.2932,0.0581,0.2085,0.0992,0.3123,0.0576,0.1083,10.8,直接影响,强,正向中介,正向直接效应,弱中介,0.986,是,0.986,0.014,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为10.8%。
188,疾病_高血压 → 疾病_陈旧性脑梗死 → 药物_硫酸氢氯吡格雷片,0.1218,0.0649,0.1841,0.0321,0.0891,0.0083,0.1909,0.049,0.2109,0.1091,0.3105,0.0552,0.6041,60.4,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为60.4%。
189,疾病_高血压 → 疾病_陈旧性脑梗死 → 疾病_重度骨质疏松,0.0654,0.0292,0.1042,0.02,0.0642,-0.0425,0.1664,0.0561,0.1296,0.0217,0.2349,0.0568,0.4983,49.8,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为49.8%。
190,疾病_高血压 → 检验_血小板比容 → 检验_血小板,-0.0705,-0.1123,-0.0308,0.0219,0.0192,-0.0798,0.1301,0.0555,-0.0513,-0.1664,0.0539,0.0581,6.8463,684.6,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,0.9995,是,0.0005,0.9995,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为684.6%。
191,疾病_高血压 → 疾病_肝囊肿 → 疾病_结肠息肉,0.0203,-0.0056,0.0492,0.0148,-0.0784,-0.185,0.0304,0.0587,-0.0581,-0.167,0.0545,0.06,-2.3787,-237.9,直接影响,强,正向中介,负向直接效应,完全中介,0.9245,否,0.9245,0.0755,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-237.9%。
192,疾病_高脂血症 → 疾病_动脉硬化 → 疾病_慢性胃炎,0.0678,0.026,0.1169,0.0247,0.0315,-0.0873,0.1458,0.0622,0.0993,-0.0105,0.208,0.0592,13.121,1312.1,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.9995,是,0.9995,0.0005,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为1312.1%。
193,疾病_高脂血症 → 药物_匹伐他汀钙片 → 疾病_脂肪肝,0.0827,0.0405,0.1255,0.023,0.1618,0.0552,0.2676,0.0567,0.2445,0.1474,0.3492,0.0544,0.3607,36.1,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为36.1%。
194,疾病_高脂血症 → 药物_匹伐他汀钙片 → 药物_阿托伐他汀钙片,-0.0804,-0.1224,-0.0383,0.0223,0.3671,0.2589,0.4762,0.0572,0.2866,0.1827,0.3927,0.0566,-0.296,-29.6,直接影响,强,负向中介,正向直接效应,部分中介,1.0,是,0.0,1.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-29.6%。
195,疾病_高脂血症 → 药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片,0.0692,0.0299,0.108,0.0213,0.1151,0.009,0.2291,0.0596,0.1843,0.0801,0.296,0.0582,0.4296,43.0,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为43.0%。
196,疾病_高脂血症 → 药物_阿托伐他汀钙片 → 疾病_心律失常,-0.02,-0.056,0.0126,0.0179,0.0582,-0.0605,0.1675,0.0614,0.0382,-0.0739,0.1445,0.0584,-0.5174,-51.7,直接影响,强,负向中介,正向直接效应,部分中介,0.8765,否,0.1235,0.8765,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-51.7%。
197,疾病_高脂血症 → 疾病_腔隙性脑梗死 → 药物_劳拉西泮片,0.0459,0.0162,0.0784,0.0172,0.0875,-0.0208,0.1942,0.0577,0.1334,0.0199,0.2332,0.0574,0.2816,28.2,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为28.2%。
198,疾病_高脂血症 → 疾病_腔隙性脑梗死 → 疾病_高尿酸血症,-0.0109,-0.0354,0.0106,0.0125,0.1415,0.0225,0.2519,0.0605,0.1306,0.0146,0.2394,0.0598,-0.1346,-13.5,直接影响,强,负向中介,正向直接效应,弱中介,0.8225,否,0.1775,0.8225,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-13.5%。
199,疾病_高脂血症 → 疾病_前列腺增生 → 检验_钙,0.031,0.0032,0.0557,0.0142,-0.0349,-0.1443,0.0775,0.0596,-0.0039,-0.1157,0.1021,0.0594,0.1033,10.3,直接影响,强,正向中介,负向直接效应,弱中介,0.998,是,0.998,0.002,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为10.3%。
200,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_钾,0.1304,0.0779,0.1963,0.032,0.0215,-0.0857,0.1418,0.0616,0.1519,0.0535,0.2628,0.0558,0.614,61.4,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为61.4%。
201,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_红细胞分布宽度SD,0.2835,0.2098,0.3474,0.0381,0.067,-0.0322,0.1561,0.05,0.3504,0.251,0.4532,0.0542,0.8217,82.2,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为82.2%。
202,检验_血红蛋白 → 检验_红细胞分布宽度CV → 疾病_胆囊结石,0.0954,0.041,0.1568,0.0306,0.0024,-0.1161,0.1276,0.0654,0.0978,-0.0037,0.2145,0.0591,1.1131,111.3,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.9985,是,0.9985,0.0015,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为111.3%。
203,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_血小板,0.0511,-0.0003,0.108,0.0292,0.1059,-0.0219,0.2287,0.0667,0.1571,0.042,0.2679,0.0602,0.4014,40.1,直接影响,强,正向中介,正向直接效应,部分中介,0.9635,是,0.9635,0.0365,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为40.1%。
204,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_磷,0.0715,0.014,0.1272,0.0302,0.0295,-0.0933,0.1413,0.064,0.101,-0.0079,0.2074,0.0579,0.4546,45.5,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.994,是,0.994,0.006,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为45.5%。
205,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_镁,0.0951,0.0347,0.1489,0.0296,0.1137,-0.0059,0.23,0.0634,0.2089,0.1007,0.3128,0.057,0.5024,50.2,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为50.2%。
206,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_谷草/谷丙,0.0854,0.0363,0.1476,0.0293,0.1353,0.0164,0.2533,0.0626,0.2207,0.1199,0.3302,0.0559,0.4182,41.8,直接影响,强,正向中介,正向直接效应,部分中介,0.999,是,0.999,0.001,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为41.8%。
207,检验_血红蛋白 → 检验_红细胞压积 → 检验_红细胞分布宽度CV,0.097,0.0203,0.1764,0.0418,0.353,0.2289,0.4755,0.0657,0.45,0.3514,0.5402,0.051,0.2183,21.8,直接影响,强,正向中介,正向直接效应,部分中介,0.9905,是,0.9905,0.0095,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为21.8%。
208,检验_血红蛋白 → 检验_红细胞压积 → 检验_红细胞,0.1012,0.0369,0.164,0.0346,0.5501,0.4424,0.6465,0.0546,0.6513,0.5761,0.7411,0.0438,0.156,15.6,直接影响,强,正向中介,正向直接效应,弱中介,0.9965,是,0.9965,0.0035,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为15.6%。
209,检验_血红蛋白 → 检验_红细胞压积 → 检验_直接胆红素,-0.047,-0.1323,0.0342,0.0453,0.2355,0.097,0.3689,0.0714,0.1886,0.0839,0.294,0.0562,-0.3067,-30.7,直接影响,强,负向中介,正向直接效应,部分中介,0.8685,否,0.1315,0.8685,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-30.7%。
210,检验_血红蛋白 → 检验_红细胞压积 → 药物_碳酸氢钠片,0.1076,0.0235,0.1891,0.0453,-0.048,-0.1916,0.0857,0.0727,0.0596,-0.055,0.1647,0.0581,0.5761,57.6,间接影响（中介效应）,强,正向中介,负向直接效应,部分中介,0.9915,是,0.9915,0.0085,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为57.6%。
211,检验_血红蛋白 → 检验_红细胞 → 疾病_贫血,0.1159,0.017,0.2089,0.051,0.0677,-0.0829,0.1988,0.0763,0.1836,0.0806,0.2947,0.0573,0.7488,74.9,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.989,是,0.989,0.011,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为74.9%。
212,检验_血红蛋白 → 检验_红细胞 → 检验_白蛋白,0.1443,0.0546,0.2373,0.0487,0.1385,0.0066,0.2884,0.0749,0.2828,0.183,0.3842,0.0546,0.5354,53.5,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.9995,是,0.9995,0.0005,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为53.5%。
213,检验_血红蛋白 → 检验_红细胞 → 疾病_白内障,0.0993,0.0053,0.1966,0.0494,-0.1559,-0.2937,-0.0108,0.0752,-0.0567,-0.1615,0.0518,0.0566,0.5778,57.8,直接影响,强,正向中介,负向直接效应,部分中介,0.9755,是,0.9755,0.0245,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为57.8%。
214,检验_血红蛋白 → 疾病_低蛋白血症 → 检验_白球比,0.1535,0.0985,0.2131,0.0309,0.1434,0.0397,0.2341,0.0514,0.2969,0.1937,0.4011,0.0549,0.5285,52.9,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为52.9%。
215,检验_血红蛋白 → 疾病_低蛋白血症 → 疾病_泌尿系感染,0.1221,0.0715,0.1743,0.0282,-0.033,-0.138,0.0722,0.0567,0.0891,-0.0166,0.2011,0.0584,-1.5238,-152.4,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-152.4%。
216,检验_血红蛋白 → 疾病_低蛋白血症 → 检验_C反应蛋白,0.1243,0.0758,0.176,0.0276,0.0967,-0.003,0.2023,0.0557,0.221,0.1235,0.3325,0.0564,0.6008,60.1,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为60.1%。
