路径ID,起始节点,中介变量,终点节点,完整路径
182,疾病_高血压,药物_贞芪扶正,疾病_肺恶性肿瘤,疾病_高血压 → 药物_贞芪扶正 → 疾病_肺恶性肿瘤
183,疾病_高血压,药物_贞芪扶正,疾病_恶性肿瘤维持性化学治疗,疾病_高血压 → 药物_贞芪扶正 → 疾病_恶性肿瘤维持性化学治疗
184,疾病_高血压,检验_谷丙转氨酶,检验_谷草转氨酶,疾病_高血压 → 检验_谷丙转氨酶 → 检验_谷草转氨酶
185,疾病_高血压,检验_谷丙转氨酶,检验_谷草/谷丙,疾病_高血压 → 检验_谷丙转氨酶 → 检验_谷草/谷丙
186,疾病_高血压,检验_谷丙转氨酶,疾病_肺恶性肿瘤,疾病_高血压 → 检验_谷丙转氨酶 → 疾病_肺恶性肿瘤
187,疾病_高血压,疾病_前列腺增生,检验_钙,疾病_高血压 → 疾病_前列腺增生 → 检验_钙
188,疾病_高血压,疾病_陈旧性脑梗死,药物_硫酸氢氯吡格雷片,疾病_高血压 → 疾病_陈旧性脑梗死 → 药物_硫酸氢氯吡格雷片
189,疾病_高血压,疾病_陈旧性脑梗死,疾病_重度骨质疏松,疾病_高血压 → 疾病_陈旧性脑梗死 → 疾病_重度骨质疏松
190,疾病_高血压,检验_血小板比容,检验_血小板,疾病_高血压 → 检验_血小板比容 → 检验_血小板
191,疾病_高血压,疾病_肝囊肿,疾病_结肠息肉,疾病_高血压 → 疾病_肝囊肿 → 疾病_结肠息肉
192,疾病_高脂血症,疾病_动脉硬化,疾病_慢性胃炎,疾病_高脂血症 → 疾病_动脉硬化 → 疾病_慢性胃炎
193,疾病_高脂血症,药物_匹伐他汀钙片,疾病_脂肪肝,疾病_高脂血症 → 药物_匹伐他汀钙片 → 疾病_脂肪肝
194,疾病_高脂血症,药物_匹伐他汀钙片,药物_阿托伐他汀钙片,疾病_高脂血症 → 药物_匹伐他汀钙片 → 药物_阿托伐他汀钙片
195,疾病_高脂血症,药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,疾病_高脂血症 → 药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片
196,疾病_高脂血症,药物_阿托伐他汀钙片,疾病_心律失常,疾病_高脂血症 → 药物_阿托伐他汀钙片 → 疾病_心律失常
197,疾病_高脂血症,疾病_腔隙性脑梗死,药物_劳拉西泮片,疾病_高脂血症 → 疾病_腔隙性脑梗死 → 药物_劳拉西泮片
198,疾病_高脂血症,疾病_腔隙性脑梗死,疾病_高尿酸血症,疾病_高脂血症 → 疾病_腔隙性脑梗死 → 疾病_高尿酸血症
199,疾病_高脂血症,疾病_前列腺增生,检验_钙,疾病_高脂血症 → 疾病_前列腺增生 → 检验_钙
200,检验_血红蛋白,检验_红细胞分布宽度CV,检验_钾,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_钾
201,检验_血红蛋白,检验_红细胞分布宽度CV,检验_红细胞分布宽度SD,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_红细胞分布宽度SD
202,检验_血红蛋白,检验_红细胞分布宽度CV,疾病_胆囊结石,检验_血红蛋白 → 检验_红细胞分布宽度CV → 疾病_胆囊结石
203,检验_血红蛋白,检验_红细胞分布宽度CV,检验_血小板,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_血小板
204,检验_血红蛋白,检验_红细胞分布宽度CV,检验_磷,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_磷
205,检验_血红蛋白,检验_红细胞分布宽度CV,检验_镁,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_镁
206,检验_血红蛋白,检验_红细胞分布宽度CV,检验_谷草/谷丙,检验_血红蛋白 → 检验_红细胞分布宽度CV → 检验_谷草/谷丙
207,检验_血红蛋白,检验_红细胞压积,检验_红细胞分布宽度CV,检验_血红蛋白 → 检验_红细胞压积 → 检验_红细胞分布宽度CV
208,检验_血红蛋白,检验_红细胞压积,检验_红细胞,检验_血红蛋白 → 检验_红细胞压积 → 检验_红细胞
209,检验_血红蛋白,检验_红细胞压积,检验_直接胆红素,检验_血红蛋白 → 检验_红细胞压积 → 检验_直接胆红素
210,检验_血红蛋白,检验_红细胞压积,药物_碳酸氢钠片,检验_血红蛋白 → 检验_红细胞压积 → 药物_碳酸氢钠片
211,检验_血红蛋白,检验_红细胞,疾病_贫血,检验_血红蛋白 → 检验_红细胞 → 疾病_贫血
212,检验_血红蛋白,检验_红细胞,检验_白蛋白,检验_血红蛋白 → 检验_红细胞 → 检验_白蛋白
213,检验_血红蛋白,检验_红细胞,疾病_白内障,检验_血红蛋白 → 检验_红细胞 → 疾病_白内障
214,检验_血红蛋白,疾病_低蛋白血症,检验_白球比,检验_血红蛋白 → 疾病_低蛋白血症 → 检验_白球比
215,检验_血红蛋白,疾病_低蛋白血症,疾病_泌尿系感染,检验_血红蛋白 → 疾病_低蛋白血症 → 疾病_泌尿系感染
216,检验_血红蛋白,疾病_低蛋白血症,检验_C反应蛋白,检验_血红蛋白 → 疾病_低蛋白血症 → 检验_C反应蛋白
217,检验_血红蛋白,检验_胆碱酯酶,检验_前白蛋白,检验_血红蛋白 → 检验_胆碱酯酶 → 检验_前白蛋白
218,检验_碱性磷酸酶,检验_转肽酶,疾病_恶性肿瘤维持性化学治疗,检验_碱性磷酸酶 → 检验_转肽酶 → 疾病_恶性肿瘤维持性化学治疗
219,检验_碱性磷酸酶,检验_转肽酶,药物_骨化三醇胶丸,检验_碱性磷酸酶 → 检验_转肽酶 → 药物_骨化三醇胶丸
220,检验_碱性磷酸酶,检验_转肽酶,疾病_非毒性单个甲状腺结节,检验_碱性磷酸酶 → 检验_转肽酶 → 疾病_非毒性单个甲状腺结节
221,检验_碱性磷酸酶,药物_盐酸吗啡注射液,药物_盐酸布桂嗪注射液,检验_碱性磷酸酶 → 药物_盐酸吗啡注射液 → 药物_盐酸布桂嗪注射液
222,检验_碱性磷酸酶,药物_盐酸羟考酮缓释片,药物_盐酸布桂嗪注射液,检验_碱性磷酸酶 → 药物_盐酸羟考酮缓释片 → 药物_盐酸布桂嗪注射液
223,检验_碱性磷酸酶,药物_盐酸羟考酮缓释片,药物_硝苯地平缓释片,检验_碱性磷酸酶 → 药物_盐酸羟考酮缓释片 → 药物_硝苯地平缓释片
224,检验_碱性磷酸酶,检验_尿酸,疾病_高尿酸血症,检验_碱性磷酸酶 → 检验_尿酸 → 疾病_高尿酸血症
225,检验_碱性磷酸酶,检验_尿酸,疾病_重度骨质疏松,检验_碱性磷酸酶 → 检验_尿酸 → 疾病_重度骨质疏松
226,检验_碱性磷酸酶,检验_尿酸,检验_钾,检验_碱性磷酸酶 → 检验_尿酸 → 检验_钾
227,检验_碱性磷酸酶,检验_尿酸,疾病_慢性胃炎,检验_碱性磷酸酶 → 检验_尿酸 → 疾病_慢性胃炎
228,检验_碱性磷酸酶,检验_尿酸,药物_劳拉西泮片,检验_碱性磷酸酶 → 检验_尿酸 → 药物_劳拉西泮片
229,药物_肝素钠注射液,疾病_脑梗死,疾病_糖尿病性视网膜病变,药物_肝素钠注射液 → 疾病_脑梗死 → 疾病_糖尿病性视网膜病变
230,药物_肝素钠注射液,药物_氯化钠注射液,药物_葡萄糖注射液,药物_肝素钠注射液 → 药物_氯化钠注射液 → 药物_葡萄糖注射液
231,检验_前白蛋白,检验_镁,检验_碳酸氢盐,检验_前白蛋白 → 检验_镁 → 检验_碳酸氢盐
232,检验_前白蛋白,检验_总胆红素,检验_直接胆红素,检验_前白蛋白 → 检验_总胆红素 → 检验_直接胆红素
233,检验_前白蛋白,检验_总胆红素,检验_间接胆红素,检验_前白蛋白 → 检验_总胆红素 → 检验_间接胆红素
234,检验_前白蛋白,检验_总胆红素,疾病_非毒性单个甲状腺结节,检验_前白蛋白 → 检验_总胆红素 → 疾病_非毒性单个甲状腺结节
235,检验_红细胞平均体积,检验_平均血红蛋白含量,疾病_贫血,检验_红细胞平均体积 → 检验_平均血红蛋白含量 → 疾病_贫血
236,检验_红细胞平均体积,检验_平均血红蛋白含量,疾病_类风湿性关节炎,检验_红细胞平均体积 → 检验_平均血红蛋白含量 → 疾病_类风湿性关节炎
237,疾病_反流性食管炎,药物_贞芪扶正,疾病_肺恶性肿瘤,疾病_反流性食管炎 → 药物_贞芪扶正 → 疾病_肺恶性肿瘤
238,疾病_反流性食管炎,药物_贞芪扶正,疾病_恶性肿瘤维持性化学治疗,疾病_反流性食管炎 → 药物_贞芪扶正 → 疾病_恶性肿瘤维持性化学治疗
239,疾病_反流性食管炎,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,疾病_反流性食管炎 → 疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸
240,疾病_反流性食管炎,疾病_胆囊结石,疾病_脂肪肝,疾病_反流性食管炎 → 疾病_胆囊结石 → 疾病_脂肪肝
241,疾病_反流性食管炎,疾病_胆囊结石,检验_钙,疾病_反流性食管炎 → 疾病_胆囊结石 → 检验_钙
242,疾病_反流性食管炎,疾病_胆囊结石,药物_盐酸二甲双胍片,疾病_反流性食管炎 → 疾病_胆囊结石 → 药物_盐酸二甲双胍片
243,疾病_反流性食管炎,疾病_胆囊结石,药物_甲钴胺片,疾病_反流性食管炎 → 疾病_胆囊结石 → 药物_甲钴胺片
244,疾病_反流性食管炎,疾病_贫血,药物_琥珀酸亚铁片,疾病_反流性食管炎 → 疾病_贫血 → 药物_琥珀酸亚铁片
245,疾病_反流性食管炎,疾病_混合痔,药物_裸花紫珠分散片,疾病_反流性食管炎 → 疾病_混合痔 → 药物_裸花紫珠分散片
246,疾病_反流性食管炎,疾病_混合痔,药物_头孢地尼分散片,疾病_反流性食管炎 → 疾病_混合痔 → 药物_头孢地尼分散片
247,疾病_反流性食管炎,疾病_混合痔,疾病_肛乳头肥大,疾病_反流性食管炎 → 疾病_混合痔 → 疾病_肛乳头肥大
248,疾病_反流性食管炎,疾病_糖尿病性周围神经病,疾病_糖尿病性周围血管病,疾病_反流性食管炎 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性周围血管病
249,疾病_反流性食管炎,疾病_糖尿病性周围神经病,疾病_糖尿病性视网膜病变,疾病_反流性食管炎 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性视网膜病变
250,疾病_反流性食管炎,疾病_糖尿病性周围神经病,疾病_高尿酸血症,疾病_反流性食管炎 → 疾病_糖尿病性周围神经病 → 疾病_高尿酸血症
251,疾病_反流性食管炎,疾病_糖尿病性周围神经病,药物_甲钴胺片,疾病_反流性食管炎 → 疾病_糖尿病性周围神经病 → 药物_甲钴胺片
252,疾病_反流性食管炎,药物_琥珀酸亚铁片,药物_叶酸片,疾病_反流性食管炎 → 药物_琥珀酸亚铁片 → 药物_叶酸片
253,疾病_反流性食管炎,药物_琥珀酸亚铁片,疾病_糖尿病性周围血管病,疾病_反流性食管炎 → 药物_琥珀酸亚铁片 → 疾病_糖尿病性周围血管病
254,检验_淋巴细胞比率,检验_中性粒细胞比率,检验_中性粒细胞数量,检验_淋巴细胞比率 → 检验_中性粒细胞比率 → 检验_中性粒细胞数量
255,检验_淋巴细胞比率,检验_淋巴细胞数量,检验_直接胆红素,检验_淋巴细胞比率 → 检验_淋巴细胞数量 → 检验_直接胆红素
256,检验_淋巴细胞比率,检验_淋巴细胞数量,检验_碳酸氢盐,检验_淋巴细胞比率 → 检验_淋巴细胞数量 → 检验_碳酸氢盐
257,检验_嗜酸性粒细胞比率,检验_嗜酸性粒细胞数量,疾病_心功能,检验_嗜酸性粒细胞比率 → 检验_嗜酸性粒细胞数量 → 疾病_心功能
258,检验_嗜酸性粒细胞比率,药物_硝苯地平控释片,药物_厄贝沙坦片,检验_嗜酸性粒细胞比率 → 药物_硝苯地平控释片 → 药物_厄贝沙坦片
259,检验_嗜酸性粒细胞比率,药物_硝苯地平控释片,药物_厄贝沙坦氢氯噻嗪片,检验_嗜酸性粒细胞比率 → 药物_硝苯地平控释片 → 药物_厄贝沙坦氢氯噻嗪片
260,检验_嗜酸性粒细胞比率,疾病_医疗机构新收治患者及陪护人员,疾病_慢性胃炎,检验_嗜酸性粒细胞比率 → 疾病_医疗机构新收治患者及陪护人员 → 疾病_慢性胃炎
261,药物_匹伐他汀钙片,疾病_脂肪肝,疾病_胆囊结石,药物_匹伐他汀钙片 → 疾病_脂肪肝 → 疾病_胆囊结石
262,药物_匹伐他汀钙片,疾病_脂肪肝,检验_C反应蛋白,药物_匹伐他汀钙片 → 疾病_脂肪肝 → 检验_C反应蛋白
263,药物_匹伐他汀钙片,疾病_脂肪肝,疾病_糖尿病性周围血管病,药物_匹伐他汀钙片 → 疾病_脂肪肝 → 疾病_糖尿病性周围血管病
264,药物_匹伐他汀钙片,疾病_脂肪肝,疾病_肺恶性肿瘤,药物_匹伐他汀钙片 → 疾病_脂肪肝 → 疾病_肺恶性肿瘤
265,药物_匹伐他汀钙片,药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,药物_匹伐他汀钙片 → 药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片
266,药物_匹伐他汀钙片,药物_阿托伐他汀钙片,疾病_心律失常,药物_匹伐他汀钙片 → 药物_阿托伐他汀钙片 → 疾病_心律失常
267,药物_氯化钾注射液,疾病_肺部感染,疾病_低钾血症,药物_氯化钾注射液 → 疾病_肺部感染 → 疾病_低钾血症
268,药物_氯化钾注射液,疾病_肺部感染,药物_葡萄糖注射液,药物_氯化钾注射液 → 疾病_肺部感染 → 药物_葡萄糖注射液
269,药物_氯化钾注射液,疾病_肺部感染,检验_血小板,药物_氯化钾注射液 → 疾病_肺部感染 → 检验_血小板
270,药物_氯化钾注射液,疾病_肺部感染,检验_镁,药物_氯化钾注射液 → 疾病_肺部感染 → 检验_镁
271,药物_氯化钾注射液,药物_维生素C注射液,药物_维生素B6注射液,药物_氯化钾注射液 → 药物_维生素C注射液 → 药物_维生素B6注射液
272,药物_氯化钾注射液,药物_氯化钠注射液,药物_葡萄糖注射液,药物_氯化钾注射液 → 药物_氯化钠注射液 → 药物_葡萄糖注射液
273,药物_氯化钾注射液,检验_平均血红蛋白浓度,药物_复方鲜竹沥液,药物_氯化钾注射液 → 检验_平均血红蛋白浓度 → 药物_复方鲜竹沥液
274,药物_氯化钾注射液,检验_平均血红蛋白浓度,药物_佐匹克隆片,药物_氯化钾注射液 → 检验_平均血红蛋白浓度 → 药物_佐匹克隆片
275,药物_氯化钾注射液,药物_盐酸氨溴索注射液,药物_二羟丙茶碱注射液,药物_氯化钾注射液 → 药物_盐酸氨溴索注射液 → 药物_二羟丙茶碱注射液
276,药物_氯化钾注射液,药物_盐酸氨溴索注射液,检验_碳酸氢盐,药物_氯化钾注射液 → 药物_盐酸氨溴索注射液 → 检验_碳酸氢盐
277,药物_氯化钾注射液,药物_盐酸氨溴索注射液,药物_肝素钠注射液,药物_氯化钾注射液 → 药物_盐酸氨溴索注射液 → 药物_肝素钠注射液
278,疾病_高同型半胱氨酸血症,药物_叶酸片,药物_卡维地洛片,疾病_高同型半胱氨酸血症 → 药物_叶酸片 → 药物_卡维地洛片
279,疾病_高同型半胱氨酸血症,药物_叶酸片,药物_甲钴胺分散片,疾病_高同型半胱氨酸血症 → 药物_叶酸片 → 药物_甲钴胺分散片
280,疾病_高同型半胱氨酸血症,药物_叶酸片,药物_琥珀酸亚铁片,疾病_高同型半胱氨酸血症 → 药物_叶酸片 → 药物_琥珀酸亚铁片
281,疾病_高同型半胱氨酸血症,疾病_肢体动脉硬化,疾病_颈总动脉斑块,疾病_高同型半胱氨酸血症 → 疾病_肢体动脉硬化 → 疾病_颈总动脉斑块
282,疾病_高同型半胱氨酸血症,疾病_肢体动脉硬化,药物_艾司唑仑片,疾病_高同型半胱氨酸血症 → 疾病_肢体动脉硬化 → 药物_艾司唑仑片
283,检验_大型血小板比率,检验_血小板分布宽度,检验_平均血小板体积,检验_大型血小板比率 → 检验_血小板分布宽度 → 检验_平均血小板体积
284,检验_大型血小板比率,检验_血小板分布宽度,检验_中性粒细胞数量,检验_大型血小板比率 → 检验_血小板分布宽度 → 检验_中性粒细胞数量
285,检验_大型血小板比率,疾病_医疗机构新收治患者及陪护人员,疾病_慢性胃炎,检验_大型血小板比率 → 疾病_医疗机构新收治患者及陪护人员 → 疾病_慢性胃炎
286,检验_大型血小板比率,疾病_老年性白内障,疾病_白内障,检验_大型血小板比率 → 疾病_老年性白内障 → 疾病_白内障
287,检验_血小板分布宽度,检验_大型血小板比率,疾病_医疗机构新收治患者及陪护人员,检验_血小板分布宽度 → 检验_大型血小板比率 → 疾病_医疗机构新收治患者及陪护人员
288,检验_血小板分布宽度,检验_大型血小板比率,疾病_老年性白内障,检验_血小板分布宽度 → 检验_大型血小板比率 → 疾病_老年性白内障
289,检验_血小板分布宽度,检验_中性粒细胞数量,检验_白细胞,检验_血小板分布宽度 → 检验_中性粒细胞数量 → 检验_白细胞
290,检验_血小板分布宽度,检验_中性粒细胞数量,检验_单核细胞数量,检验_血小板分布宽度 → 检验_中性粒细胞数量 → 检验_单核细胞数量
291,检验_血小板分布宽度,检验_中性粒细胞数量,检验_镁,检验_血小板分布宽度 → 检验_中性粒细胞数量 → 检验_镁
292,检验_血小板分布宽度,检验_中性粒细胞数量,药物_复方鲜竹沥液,检验_血小板分布宽度 → 检验_中性粒细胞数量 → 药物_复方鲜竹沥液
293,检验_血小板分布宽度,检验_中性粒细胞数量,药物_苯磺酸氨氯地平片,检验_血小板分布宽度 → 检验_中性粒细胞数量 → 药物_苯磺酸氨氯地平片
294,检验_直接胆红素,检验_总胆汁酸,检验_转肽酶,检验_直接胆红素 → 检验_总胆汁酸 → 检验_转肽酶
295,检验_直接胆红素,检验_碱性磷酸酶,检验_转肽酶,检验_直接胆红素 → 检验_碱性磷酸酶 → 检验_转肽酶
296,检验_直接胆红素,检验_碱性磷酸酶,药物_盐酸吗啡注射液,检验_直接胆红素 → 检验_碱性磷酸酶 → 药物_盐酸吗啡注射液
297,检验_直接胆红素,检验_碱性磷酸酶,药物_盐酸羟考酮缓释片,检验_直接胆红素 → 检验_碱性磷酸酶 → 药物_盐酸羟考酮缓释片
298,检验_直接胆红素,检验_碱性磷酸酶,检验_尿酸,检验_直接胆红素 → 检验_碱性磷酸酶 → 检验_尿酸
299,检验_直接胆红素,检验_碱性磷酸酶,疾病_肝功能异常,检验_直接胆红素 → 检验_碱性磷酸酶 → 疾病_肝功能异常
300,检验_直接胆红素,药物_盐酸羟考酮缓释片,药物_盐酸布桂嗪注射液,检验_直接胆红素 → 药物_盐酸羟考酮缓释片 → 药物_盐酸布桂嗪注射液
301,检验_直接胆红素,药物_盐酸羟考酮缓释片,药物_硝苯地平缓释片,检验_直接胆红素 → 药物_盐酸羟考酮缓释片 → 药物_硝苯地平缓释片
302,检验_直接胆红素,药物_盐酸羟考酮缓释片,检验_碱性磷酸酶,检验_直接胆红素 → 药物_盐酸羟考酮缓释片 → 检验_碱性磷酸酶
303,检验_直接胆红素,检验_总胆红素,检验_间接胆红素,检验_直接胆红素 → 检验_总胆红素 → 检验_间接胆红素
304,检验_直接胆红素,检验_总胆红素,疾病_非毒性单个甲状腺结节,检验_直接胆红素 → 检验_总胆红素 → 疾病_非毒性单个甲状腺结节
305,检验_谷丙转氨酶,检验_谷草转氨酶,疾病_腰椎间盘突出,检验_谷丙转氨酶 → 检验_谷草转氨酶 → 疾病_腰椎间盘突出
306,检验_谷丙转氨酶,疾病_肺恶性肿瘤,疾病_前列腺增生,检验_谷丙转氨酶 → 疾病_肺恶性肿瘤 → 疾病_前列腺增生
307,检验_谷丙转氨酶,疾病_肺恶性肿瘤,疾病_恶性肿瘤维持性化学治疗,检验_谷丙转氨酶 → 疾病_肺恶性肿瘤 → 疾病_恶性肿瘤维持性化学治疗
308,检验_谷丙转氨酶,疾病_肺恶性肿瘤,检验_单核细胞数量,检验_谷丙转氨酶 → 疾病_肺恶性肿瘤 → 检验_单核细胞数量
309,检验_红细胞分布宽度CV,检验_红细胞分布宽度SD,检验_红细胞,检验_红细胞分布宽度CV → 检验_红细胞分布宽度SD → 检验_红细胞
310,检验_红细胞分布宽度CV,检验_红细胞分布宽度SD,检验_红细胞平均体积,检验_红细胞分布宽度CV → 检验_红细胞分布宽度SD → 检验_红细胞平均体积
311,检验_红细胞分布宽度CV,疾病_胆囊结石,疾病_脂肪肝,检验_红细胞分布宽度CV → 疾病_胆囊结石 → 疾病_脂肪肝
312,检验_红细胞分布宽度CV,疾病_胆囊结石,检验_钙,检验_红细胞分布宽度CV → 疾病_胆囊结石 → 检验_钙
313,检验_红细胞分布宽度CV,疾病_胆囊结石,药物_盐酸二甲双胍片,检验_红细胞分布宽度CV → 疾病_胆囊结石 → 药物_盐酸二甲双胍片
314,检验_红细胞分布宽度CV,疾病_胆囊结石,药物_甲钴胺片,检验_红细胞分布宽度CV → 疾病_胆囊结石 → 药物_甲钴胺片
315,检验_红细胞分布宽度CV,检验_血小板,药物_维生素C注射液,检验_红细胞分布宽度CV → 检验_血小板 → 药物_维生素C注射液
316,检验_红细胞分布宽度CV,检验_血小板,检验_血小板比容,检验_红细胞分布宽度CV → 检验_血小板 → 检验_血小板比容
317,检验_红细胞分布宽度CV,检验_磷,药物_碳酸钙片,检验_红细胞分布宽度CV → 检验_磷 → 药物_碳酸钙片
318,检验_红细胞分布宽度CV,检验_镁,检验_碳酸氢盐,检验_红细胞分布宽度CV → 检验_镁 → 检验_碳酸氢盐
319,药物_盐酸氨溴索注射液,药物_二羟丙茶碱注射液,药物_阿卡波糖片,药物_盐酸氨溴索注射液 → 药物_二羟丙茶碱注射液 → 药物_阿卡波糖片
320,药物_盐酸氨溴索注射液,药物_二羟丙茶碱注射液,药物_富马酸比索洛尔片,药物_盐酸氨溴索注射液 → 药物_二羟丙茶碱注射液 → 药物_富马酸比索洛尔片
321,药物_盐酸氨溴索注射液,药物_二羟丙茶碱注射液,药物_酒石酸美托洛尔片,药物_盐酸氨溴索注射液 → 药物_二羟丙茶碱注射液 → 药物_酒石酸美托洛尔片
322,药物_盐酸氨溴索注射液,药物_二羟丙茶碱注射液,药物_维生素C注射液,药物_盐酸氨溴索注射液 → 药物_二羟丙茶碱注射液 → 药物_维生素C注射液
323,药物_盐酸氨溴索注射液,药物_肝素钠注射液,疾病_脑梗死,药物_盐酸氨溴索注射液 → 药物_肝素钠注射液 → 疾病_脑梗死
324,药物_盐酸氨溴索注射液,药物_肝素钠注射液,药物_氯化钠注射液,药物_盐酸氨溴索注射液 → 药物_肝素钠注射液 → 药物_氯化钠注射液
325,检验_转肽酶,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,检验_转肽酶 → 疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸
326,检验_转肽酶,检验_碱性磷酸酶,药物_盐酸吗啡注射液,检验_转肽酶 → 检验_碱性磷酸酶 → 药物_盐酸吗啡注射液
327,检验_转肽酶,检验_碱性磷酸酶,药物_盐酸羟考酮缓释片,检验_转肽酶 → 检验_碱性磷酸酶 → 药物_盐酸羟考酮缓释片
328,检验_转肽酶,检验_碱性磷酸酶,检验_尿酸,检验_转肽酶 → 检验_碱性磷酸酶 → 检验_尿酸
329,检验_转肽酶,检验_碱性磷酸酶,疾病_肝功能异常,检验_转肽酶 → 检验_碱性磷酸酶 → 疾病_肝功能异常
330,检验_转肽酶,药物_骨化三醇胶丸,疾病_类风湿性关节炎,检验_转肽酶 → 药物_骨化三醇胶丸 → 疾病_类风湿性关节炎
331,检验_转肽酶,药物_骨化三醇胶丸,药物_碳酸钙片,检验_转肽酶 → 药物_骨化三醇胶丸 → 药物_碳酸钙片
332,检验_转肽酶,药物_骨化三醇胶丸,药物_酒石酸美托洛尔片,检验_转肽酶 → 药物_骨化三醇胶丸 → 药物_酒石酸美托洛尔片
333,药物_二羟丙茶碱注射液,药物_阿卡波糖片,疾病_非毒性单个甲状腺结节,药物_二羟丙茶碱注射液 → 药物_阿卡波糖片 → 疾病_非毒性单个甲状腺结节
334,药物_二羟丙茶碱注射液,药物_阿卡波糖片,药物_精蛋白生物合成人胰岛素注射液,药物_二羟丙茶碱注射液 → 药物_阿卡波糖片 → 药物_精蛋白生物合成人胰岛素注射液
335,药物_二羟丙茶碱注射液,药物_阿卡波糖片,检验_谷草转氨酶,药物_二羟丙茶碱注射液 → 药物_阿卡波糖片 → 检验_谷草转氨酶
336,药物_二羟丙茶碱注射液,药物_阿卡波糖片,疾病_糖尿病性周围神经病,药物_二羟丙茶碱注射液 → 药物_阿卡波糖片 → 疾病_糖尿病性周围神经病
337,药物_二羟丙茶碱注射液,药物_阿卡波糖片,疾病_泌尿系感染,药物_二羟丙茶碱注射液 → 药物_阿卡波糖片 → 疾病_泌尿系感染
338,药物_二羟丙茶碱注射液,药物_富马酸比索洛尔片,药物_硝苯地平缓释片,药物_二羟丙茶碱注射液 → 药物_富马酸比索洛尔片 → 药物_硝苯地平缓释片
339,药物_二羟丙茶碱注射液,药物_富马酸比索洛尔片,疾病_心律失常,药物_二羟丙茶碱注射液 → 药物_富马酸比索洛尔片 → 疾病_心律失常
340,药物_二羟丙茶碱注射液,药物_富马酸比索洛尔片,药物_甲钴胺片,药物_二羟丙茶碱注射液 → 药物_富马酸比索洛尔片 → 药物_甲钴胺片
341,药物_二羟丙茶碱注射液,药物_酒石酸美托洛尔片,药物_富马酸比索洛尔片,药物_二羟丙茶碱注射液 → 药物_酒石酸美托洛尔片 → 药物_富马酸比索洛尔片
342,药物_二羟丙茶碱注射液,药物_酒石酸美托洛尔片,药物_硝苯地平缓释片,药物_二羟丙茶碱注射液 → 药物_酒石酸美托洛尔片 → 药物_硝苯地平缓释片
343,药物_二羟丙茶碱注射液,药物_维生素C注射液,药物_维生素B6注射液,药物_二羟丙茶碱注射液 → 药物_维生素C注射液 → 药物_维生素B6注射液
344,检验_总蛋白,检验_钙,检验_嗜碱性粒细胞比率,检验_总蛋白 → 检验_钙 → 检验_嗜碱性粒细胞比率
345,检验_总蛋白,检验_球蛋白,疾病_结肠息肉,检验_总蛋白 → 检验_球蛋白 → 疾病_结肠息肉
346,疾病_动脉硬化,疾病_慢性胃炎,疾病_结肠息肉,疾病_动脉硬化 → 疾病_慢性胃炎 → 疾病_结肠息肉
347,疾病_动脉硬化,疾病_高脂血症,药物_匹伐他汀钙片,疾病_动脉硬化 → 疾病_高脂血症 → 药物_匹伐他汀钙片
348,疾病_动脉硬化,疾病_高脂血症,药物_阿托伐他汀钙片,疾病_动脉硬化 → 疾病_高脂血症 → 药物_阿托伐他汀钙片
349,疾病_动脉硬化,疾病_高脂血症,疾病_腔隙性脑梗死,疾病_动脉硬化 → 疾病_高脂血症 → 疾病_腔隙性脑梗死
350,疾病_动脉硬化,疾病_高脂血症,疾病_前列腺增生,疾病_动脉硬化 → 疾病_高脂血症 → 疾病_前列腺增生
351,检验_总胆红素,检验_直接胆红素,检验_总胆汁酸,检验_总胆红素 → 检验_直接胆红素 → 检验_总胆汁酸
352,检验_总胆红素,检验_直接胆红素,检验_碱性磷酸酶,检验_总胆红素 → 检验_直接胆红素 → 检验_碱性磷酸酶
353,检验_总胆红素,检验_直接胆红素,药物_盐酸羟考酮缓释片,检验_总胆红素 → 检验_直接胆红素 → 药物_盐酸羟考酮缓释片
354,检验_总胆红素,检验_直接胆红素,疾病_泌尿系感染,检验_总胆红素 → 检验_直接胆红素 → 疾病_泌尿系感染
355,疾病_尿毒症,检验_胆碱酯酶,检验_前白蛋白,疾病_尿毒症 → 检验_胆碱酯酶 → 检验_前白蛋白
356,疾病_尿毒症,检验_谷丙转氨酶,检验_谷草转氨酶,疾病_尿毒症 → 检验_谷丙转氨酶 → 检验_谷草转氨酶
